"confirmatory_id","treatment","outcome","horizon","factor","contract_id","iv_candidate","negative_control_candidate","score","p_value","q_value","priority","robust","evidence_tier","contract_status","status","notes","source","run_timestamp_utc"
"ci_contract_008","transfer_composite","poverty_child_q",4,"F1","contract_008",NA,NA,9.48691821354119e-08,2.34522467785092e-06,0.000168856176805266,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_007","transfer_composite","poverty_all_q",4,"F1","contract_007",NA,NA,1.00007870676177e-08,2.34522467785092e-06,0.000168856176805266,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_009","transfer_composite","gini_households_q",4,"F1","contract_009",NA,NA,2.72499107481793e-09,2.34522467785092e-06,0.000168856176805266,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_012","transfer_composite","wealth_share_gap_top1_bottom50",4,"F1","contract_012",NA,NA,3.39526572957651e-07,0.000179943555654677,0.00971695200535257,"strong",TRUE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_018","ui_benefits","wealth_share_gap_top1_bottom50",4,"F1","contract_018",NA,NA,3.75876436849343e-06,0.00320295807446621,0.13836778881694,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_015","ui_benefits","gini_households_q",4,"F1","contract_015",NA,NA,3.01672981506688e-08,0.0281676183075565,0.994580316187998,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_013","ui_benefits","poverty_all_q",4,"F1","contract_013",NA,NA,1.10714757196162e-07,0.0353177032879282,0.994580316187998,"strong",FALSE,"strong","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_029","snap_persons","wealth_share_gap_top10_bottom50",4,"F1","contract_029",NA,NA,1.06586631130769e-06,0.0987012043833733,0.994580316187998,"moderate",FALSE,"moderate","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_025","snap_persons","poverty_all_q",4,"F1","contract_025",NA,NA,1.23486042913993e-07,0.0987012043833733,0.994580316187998,"moderate",FALSE,"moderate","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_035","credit_composite","wealth_share_gap_top10_bottom50",4,"F2","contract_035",NA,NA,6.844813130769e-09,0.110276815653079,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_004","fed_funds","median_real_income_fred_q",4,"F2","contract_004",NA,NA,102.666495603221,0.117636171831882,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_026","snap_persons","poverty_child_q",4,"F1","contract_026",NA,NA,1.17140979176747e-06,0.123597784893403,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_014","ui_benefits","poverty_child_q",4,"F1","contract_014",NA,NA,1.05025918405266e-06,0.130466449688122,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_017","ui_benefits","wealth_share_gap_top10_bottom50",4,"F1","contract_017",NA,NA,9.55631317315682e-07,0.258791526293762,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_031","credit_composite","poverty_all_q",4,"F2","contract_031",NA,NA,3.52914762246304e-09,0.291224763137239,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_010","transfer_composite","median_real_income_fred_q",8,"F1","contract_010",NA,NA,0.000197871327223556,0.300884467818414,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_011","transfer_composite","wealth_share_gap_top10_bottom50",8,"F1","contract_011",NA,NA,1.99459086568076e-08,0.300884467818414,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_001","fed_funds","poverty_all_q",4,"F2","contract_001",NA,NA,0.122545289286158,0.316206345168512,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_027","snap_persons","gini_households_q",2,"F2","contract_027",NA,NA,5.67229367678513e-09,0.332744504037019,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_034","credit_composite","median_real_income_fred_q",2,"F1","contract_034",NA,NA,1.55382373955415e-06,0.373982310310543,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_002","fed_funds","poverty_child_q",4,"F2","contract_002",NA,NA,0.150347470263028,0.379784605983147,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_032","credit_composite","poverty_child_q",4,"F2","contract_032",NA,NA,4.32981488160746e-09,0.399775313771938,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
"ci_contract_036","credit_composite","wealth_share_gap_top1_bottom50",4,"F2","contract_036",NA,NA,2.85515654412619e-09,0.457390337837944,0.994580316187998,"weak",FALSE,"weak","insufficient_candidates","insufficient_contract","missing_iv_or_nc_candidate","channel_findings_ranked+confirmatory_contracts_manifest","2026-04-03T20:08:46Z"
