"run_id","estimator","estimand","treatment","outcome","family","horizon","treatment_mode","binary","estimate","se","ci_low","ci_high","p","n","notes","design","run_stage_id","pipeline_run_id","run_timestamp_utc","run_config_id","run_config_path","p_perm","q_bh","q_rw"
"20260406T131355_lp","lp","ate","ui_benefits","poverty_all_q","other",8,"shock",FALSE,5.86115082413776e-06,7.08340148564603e-06,-8.02231608772846e-06,1.9744617736004e-05,0.410920317249987,108,"hac","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h8_shock_oosexpanding.csv","lp","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.790697674418605,0.584838469597399,1
"20260406T131355_lp","lp","ate","ui_benefits","poverty_all_q","other",4,"shock",FALSE,1.17358530456117e-05,1.03296525195285e-05,-8.51026589266416e-06,3.19819719838876e-05,0.259775906008793,111,"hac","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h4_shock_oosexpanding.csv","lp","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.823920265780731,0.474226601823329,1
"20260406T131355_lp","lp","ate","ui_benefits","poverty_child_q","other",2,"shock",FALSE,-7.70753680957454e-06,1.36181582977456e-05,-3.4399127073156e-05,1.89840534540069e-05,0.573195319277423,112,"hac","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_child_q_h2_shock_oosexpanding.csv","lp","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.963455149501661,0.695562859347884,1
"20260406T131355_lp","lp","ate","ui_benefits","poverty_all_q","other",2,"shock",FALSE,-1.99797454250797e-06,8.98635797475068e-06,-1.96112361730193e-05,1.56152870880034e-05,0.824692070388306,112,"hac","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h2_shock_oosexpanding.csv","lp","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.900332225913621,0.873203368646442,1
"20260406T131355_lp_iv","lp_iv","ate","ui_benefits","poverty_all_q","other",8,"shock",FALSE,NA,NA,NA,NA,NA,108,"skip:no_instrument","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h8_shock_oosexpanding.csv","lp_iv","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.790697674418605,NA,NA
"20260406T131355_lp_iv","lp_iv","ate","ui_benefits","poverty_all_q","other",4,"shock",FALSE,NA,NA,NA,NA,NA,111,"skip:no_instrument","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h4_shock_oosexpanding.csv","lp_iv","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.823920265780731,NA,NA
"20260406T131355_lp_iv","lp_iv","ate","ui_benefits","poverty_child_q","other",2,"shock",FALSE,NA,NA,NA,NA,NA,112,"skip:no_instrument","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_child_q_h2_shock_oosexpanding.csv","lp_iv","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.963455149501661,NA,NA
"20260406T131355_lp_iv","lp_iv","ate","ui_benefits","poverty_all_q","other",2,"shock",FALSE,NA,NA,NA,NA,NA,112,"skip:no_instrument","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h2_shock_oosexpanding.csv","lp_iv","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.900332225913621,NA,NA
"20260406T131356_dml","dml","ate","ui_benefits","poverty_child_q","other",2,"shock",FALSE,4.54823051083945e-05,1.42291295055252e-05,1.75932112775651e-05,7.3371398939224e-05,0.00181668176500068,112,"crossfit residual-on-residual","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_child_q_h2_shock_oosexpanding.csv","dml","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.963455149501661,0.037917338031167,0.188934903560071
"20260406T131356_dml","dml","ate","ui_benefits","poverty_all_q","other",2,"shock",FALSE,1.60739760046444e-05,5.39565769860613e-06,5.49848691537637e-06,2.66494650939124e-05,0.00355833720897476,112,"crossfit residual-on-residual","/Users/shanewray/tmp/ea_bridge_run/results/dass-R/poverty_outcomes_bridge/design/design_ui_benefits_poverty_all_q_h2_shock_oosexpanding.csv","dml","dass_20260406T171343Z","2026-04-06T17:13:43Z","config_dass_poverty_outcomes_bridge","/Users/shanewray/tmp/ea_bridge_run/runtime/dass-R/config_dass_poverty_outcomes_bridge.R",0.900332225913621,0.0427000465076971,0.355833720897476
